Time (s);FP1;FP2;F3;F4;F7;F8;Sampling Rate
0.0000000000e+000;-4.5567293938e-008;2.9829072545e-009;-5.3576460601e-008;-2.4454775982e-008;-4.9769557364e-008;-7.0007985187e-008;250
3.9062500000e-003;-4.5485172961e-008;3.0475486579e-009;-5.3740297545e-008;-2.4410942601e-008;-4.9788109635e-008;-7.0122872842e-008;
7.8125000000e-003;-4.5341497668e-008;3.0443298993e-009;-5.3634394703e-008;-2.4510386609e-008;-4.9916341283e-008;-7.0256810147e-008;
1.1718750000e-002;-4.5372072321e-008;2.9810074409e-009;-5.3707598369e-008;-2.4644586816e-008;-4.9994145712e-008;-7.0376366068e-008;
1.5625000000e-002;-4.5405577964e-008;3.0087459191e-009;-5.3737192474e-008;-2.4605627758e-008;-4.9989250073e-008;-7.0474627023e-008;
1.9531250000e-002;-4.5404796367e-008;3.0663687145e-009;-5.3825726098e-008;-2.4564052126e-008;-4.9992223694e-008;-7.0561796406e-008;
2.3437500000e-002;-4.5341316479e-008;3.0616971181e-009;-5.3886008544e-008;-2.4534928755e-008;-4.9981359496e-008;-7.0572902189e-008;
2.7343750000e-002;-4.5297419149e-008;3.1421634183e-009;-5.3790923715e-008;-2.4653571629e-008;-5.0012719299e-008;-7.0702611765e-008;
3.1250000000e-002;-4.5347352540e-008;3.1182694205e-009;-5.3838466130e-008;-2.4655113506e-008;-5.0048907241e-008;-7.0828029664e-008;
3.5156250000e-002;-4.5375202262e-008;3.0710849419e-009;-5.3901654695e-008;-2.4606052307e-008;-5.0049152378e-008;-7.0853801049e-008;
3.9062500000e-002;-4.5377081648e-008;3.0239228899e-009;-5.3865825578e-008;-2.4593200365e-008;-5.0032749499e-008;-7.0883686476e-008;
4.3945312500e-002;-4.5366753909e-008;3.0391891226e-009;-5.3937419864e-008;-2.4730216097e-008;-5.0030916299e-008;-7.0826082776e-008;
4.7851562500e-002;-4.5295788453e-008;3.1845424076e-009;-5.3827335478e-008;-2.4626704231e-008;-4.9971749405e-008;-7.0952012265e-008;
5.1757812500e-002;-4.5307054108e-008;3.1564910685e-009;-5.3732073013e-008;-2.4605135707e-008;-4.9984915762e-008;-7.1010283875e-008;
5.5664062500e-002;-4.5340716071e-008;3.0962976627e-009;-5.3780823350e-008;-2.4634125850e-008;-4.9998192253e-008;-7.0928209084e-008;
5.9570312500e-002;-4.5277971594e-008;3.0744378154e-009;-5.3726349591e-008;-2.4689335021e-008;-4.9955119152e-008;-7.0933396046e-008;
6.3476562500e-002;-4.5274710203e-008;3.1061770933e-009;-5.3520448517e-008;-2.4607258453e-008;-4.9984290484e-008;-7.0887509196e-008;
6.7382812500e-002;-4.5320508235e-008;3.0528235495e-009;-5.3489937812e-008;-2.4442190494e-008;-4.9994302032e-008;-7.0776550842e-008;
7.1289062500e-002;-4.5315857733e-008;3.0298459297e-009;-5.3531220345e-008;-2.4330365278e-008;-4.9931717427e-008;-7.0691925202e-008;
7.5195312500e-002;-4.5252605219e-008;3.2307434505e-009;-5.3545814893e-008;-2.4646261920e-008;-4.9925304779e-008;-7.0734017754e-008;
7.9101562500e-002;-4.5288789607e-008;3.1335356532e-009;-5.3451714166e-008;-2.4589242642e-008;-4.9935362512e-008;-7.0749173631e-008;
8.3984375000e-002;-4.5278127914e-008;3.0909779181e-009;-5.3382155585e-008;-2.4483407302e-008;-4.9898950749e-008;-7.0571672950e-008;
8.7890625000e-002;-4.5324867415e-008;2.9942173185e-009;-5.3362352759e-008;-2.4513314045e-008;-4.9880195974e-008;-7.0397511820e-008;
9.1796875000e-002;-4.5307633201e-008;3.1184259619e-009;-5.3375494247e-008;-2.4417090572e-008;-4.9824251391e-008;-7.0329519986e-008;
9.5703125000e-002;-4.5251152159e-008;3.1621907315e-009;-5.3166417047e-008;-2.4491097150e-008;-4.9840075178e-008;-7.0439106992e-008;
9.9609375000e-002;-4.5273704785e-008;3.2070506251e-009;-5.3117936716e-008;-2.4424041456e-008;-4.9818059011e-008;-7.0275490316e-008;
1.0351562500e-001;-4.5220350131e-008;3.1997415828e-009;-5.3021668833e-008;-2.4286981315e-008;-4.9709967698e-008;-7.0275156361e-008;
1.0742187500e-001;-4.5274909155e-008;3.1849447524e-009;-5.2961162567e-008;-2.4225357720e-008;-4.9724963702e-008;-7.0132081476e-008;
1.1132812500e-001;-4.5356159717e-008;3.0684697006e-009;-5.3017867430e-008;-2.4067396964e-008;-4.9751204045e-008;-6.9969232186e-008;
1.1523437500e-001;-4.5327571030e-008;3.0909332871e-009;-5.3018023749e-008;-2.4321268555e-008;-4.9752209463e-008;-6.9821375348e-008;
1.1914062500e-001;-4.5343686139e-008;3.2150524465e-009;-5.2865541278e-008;-2.4397978748e-008;-4.9740318531e-008;-6.9770280220e-008;
1.2304687500e-001;-4.5297465334e-008;3.1682478863e-009;-5.2766342407e-008;-2.4224394934e-008;-4.9680686232e-008;-6.9714062079e-008;
1.2792968750e-001;-4.5318987674e-008;3.1211975227e-009;-5.2733888367e-008;-2.4215029981e-008;-4.9731244900e-008;-6.9672310588e-008;
1.3183593750e-001;-4.5353523603e-008;2.9854330119e-009;-5.2818155183e-008;-2.4244803498e-008;-4.9666088131e-008;-6.9395909463e-008;
1.3574218750e-001;-4.5266752124e-008;3.2199027888e-009;-5.2578233323e-008;-2.4112548402e-008;-4.9587747242e-008;-6.9262043212e-008;
1.3964843750e-001;-4.5307814389e-008;3.1928795163e-009;-5.2514284477e-008;-2.4093905537e-008;-4.9630372700e-008;-6.9336586250e-008;
1.4355468750e-001;-4.5365769807e-008;3.1432363379e-009;-5.2607692425e-008;-2.4134697796e-008;-4.9612424391e-008;-6.9224313393e-008;
1.4746093750e-001;-4.5324778597e-008;3.1228515329e-009;-5.2630490188e-008;-2.4125981213e-008;-4.9574470751e-008;-6.9047800366e-008;
1.5136718750e-001;-4.5406160609e-008;3.0243698657e-009;-5.2635297010e-008;-2.4035680113e-008;-4.9541299063e-008;-6.8933495356e-008;
1.5527343750e-001;-4.5420108563e-008;3.0341598123e-009;-5.2744773882e-008;-2.3790772019e-008;-4.9538236624e-008;-6.8626938798e-008;
1.5917968750e-001;-4.5291876916e-008;3.1610507545e-009;-5.2486878843e-008;-2.4030672563e-008;-4.9483521281e-008;-6.8598509984e-008;
1.6308593750e-001;-4.5402941851e-008;2.7586521956e-009;-5.2436856635e-008;-2.4080696548e-008;-4.9555783477e-008;-6.8794754782e-008;
1.6796875000e-001;-4.5557793982e-008;2.6601034708e-009;-5.2617568969e-008;-2.4084853223e-008;-4.9508486200e-008;-6.8299463862e-008;
1.7187500000e-001;-4.5503881552e-008;2.8144646613e-009;-5.2708138298e-008;-2.3952285488e-008;-4.9392081536e-008;-6.8321838853e-008;
1.7578125000e-001;-4.5491631795e-008;2.6802646769e-009;-5.2590724664e-008;-2.3898596879e-008;-4.9417650416e-008;-6.8463144487e-008;
1.7968750000e-001;-4.5616086908e-008;2.7020130577e-009;-5.2718643673e-008;-2.3972848595e-008;-4.9385128875e-008;-6.8242648865e-008;
1.8359375000e-001;-4.5509917612e-008;2.7854742957e-009;-5.2441038179e-008;-2.4041982627e-008;-4.9248736644e-008;-6.8042865564e-008;
1.8750000000e-001;-4.5459334075e-008;2.8794187035e-009;-5.2283791518e-008;-2.3872109622e-008;-4.9266841273e-008;-6.8119021535e-008;
1.9140625000e-001;-4.5515193392e-008;2.9179083594e-009;-5.2156117647e-008;-2.3799019644e-008;-4.9257945278e-008;-6.8056856151e-008;
1.9531250000e-001;-4.5342389399e-008;3.1133298162e-009;-5.2033094278e-008;-2.3791040249e-008;-4.9188834339e-008;-6.7769235557e-008;
1.9921875000e-001;-4.5407009708e-008;2.9542077673e-009;-5.1921158928e-008;-2.3830446949e-008;-4.9194980534e-008;-6.7768631595e-008;
2.0312500000e-001;-4.5500463841e-008;2.9515700994e-009;-5.1959847980e-008;-2.3832413376e-008;-4.9114603939e-008;-6.7512033297e-008;
2.0703125000e-001;-4.5452072328e-008;2.9962512471e-009;-5.1815231217e-008;-2.3815426076e-008;-4.9115545409e-008;-6.7468469922e-008;
2.1191406250e-001;-4.5615013988e-008;2.6926252339e-009;-5.1875471030e-008;-2.3867169574e-008;-4.9104858846e-008;-6.7365583334e-008;
2.1582031250e-001;-4.5653951730e-008;2.5806876636e-009;-5.2026994268e-008;-2.4018223854e-008;-4.9027054416e-008;-6.7245558455e-008;
2.1972656250e-001;-4.5553726125e-008;2.7186426443e-009;-5.2068859446e-008;-2.3872489763e-008;-4.8909797101e-008;-6.7297456496e-008;
2.2363281250e-001;-4.5499991330e-008;2.8099271798e-009;-5.1935419521e-008;-2.3722890319e-008;-4.9091426035e-008;-6.7390040215e-008;
2.2753906250e-001;-4.5554777728e-008;2.9725808481e-009;-5.2018187091e-008;-2.3772622981e-008;-4.9183292106e-008;-6.7694628569e-008;
2.3144531250e-001;-4.5487162481e-008;2.8862361390e-009;-5.2198988243e-008;-2.3927363202e-008;-4.9143348946e-008;-6.7727619069e-008;
2.3535156250e-001;-4.5572768670e-008;2.8091671211e-009;-5.2263473549e-008;-2.4006823196e-008;-4.9257590007e-008;-6.8121032371e-008;
2.3925781250e-001;-4.5609336752e-008;2.6817175147e-009;-5.2587864730e-008;-2.4119410469e-008;-4.9327439910e-008;-6.8337037362e-008;
2.4316406250e-001;-4.5436646445e-008;2.8619397963e-009;-5.2527315830e-008;-2.4073543159e-008;-4.9322565587e-008;-6.8421059041e-008;
2.4707031250e-001;-4.5571987073e-008;2.9644895427e-009;-5.2545015450e-008;-2.4171667334e-008;-4.9482672182e-008;-6.8635728212e-008;
2.5195312500e-001;-4.5618836708e-008;3.0008111551e-009;-5.2807582307e-008;-2.4163732348e-008;-4.9447869799e-008;-6.8849786317e-008;
2.5585937500e-001;-4.5343618638e-008;3.0219782232e-009;-5.2685116714e-008;-2.4091113104e-008;-4.9558241955e-008;-6.8847128887e-008;
2.5976562500e-001;-4.5398895310e-008;3.1002092005e-009;-5.2644637094e-008;-2.4139794164e-008;-4.9762000742e-008;-6.8980860135e-008;
2.6367187500e-001;-4.5422790862e-008;2.9446411975e-009;-5.3070952077e-008;-2.4294648071e-008;-4.9706880390e-008;-6.9209605158e-008;
2.6757812500e-001;-4.5317559483e-008;3.0149149843e-009;-5.3106091968e-008;-2.4266462617e-008;-4.9680306091e-008;-6.9234552313e-008;
2.7148437500e-001;-4.5332466669e-008;3.1373801335e-009;-5.2875016365e-008;-2.4203519189e-008;-4.9845887418e-008;-6.9261282931e-008;
2.7539062500e-001;-4.5349320743e-008;3.1094182784e-009;-5.2978975873e-008;-2.4253877129e-008;-4.9876330621e-008;-6.9398275571e-008;
2.7929687500e-001;-4.5362639867e-008;3.0893687608e-009;-5.3101889108e-008;-2.4314719127e-008;-4.9892779685e-008;-6.9528830693e-008;
2.8320312500e-001;-4.5363556467e-008;3.0787068450e-009;-5.3112149345e-008;-2.4347196259e-008;-4.9959322013e-008;-6.9615154530e-008;
2.8710937500e-001;-4.5361279177e-008;3.0798692485e-009;-5.3134051825e-008;-2.4380097940e-008;-5.0018734044e-008;-6.9711852291e-008;
2.9199218750e-001;-4.5350883937e-008;3.0939508733e-009;-5.3146411716e-008;-2.4407254884e-008;-5.0065917634e-008;-6.9819293458e-008;
2.9589843750e-001;-4.5351377764e-008;3.1008127177e-009;-5.3195631011e-008;-2.4450550029e-008;-5.0104585370e-008;-6.9942274195e-008;
2.9980468750e-001;-4.5345675659e-008;3.1094629094e-009;-5.3241564046e-008;-2.4468834070e-008;-5.0122377360e-008;-7.0025485854e-008;
3.0371093750e-001;-4.5329493048e-008;3.1170401815e-009;-5.3273549128e-008;-2.4479831495e-008;-5.0127294315e-008;-7.0094600346e-008;
3.0761718750e-001;-4.5317623432e-008;3.1205940054e-009;-5.3282334989e-008;-2.4489128947e-008;-5.0145064989e-008;-7.0176675138e-008;
3.1152343750e-001;-4.5302829932e-008;3.1341169660e-009;-5.3312017911e-008;-2.4509335006e-008;-5.0170257282e-008;-7.0281593878e-008;
3.1542968750e-001;-4.5281126404e-008;3.1537192857e-009;-5.3326164817e-008;-2.4515706798e-008;-5.0178304178e-008;-7.0370418825e-008;
3.1933593750e-001;-4.5268158999e-008;3.1711313575e-009;-5.3344987094e-008;-2.4524981157e-008;-5.0201883539e-008;-7.0450731471e-008;
3.2324218750e-001;-4.5273726101e-008;3.1661244737e-009;-5.3393556243e-008;-2.4544025479e-008;-5.0227029647e-008;-7.0538284547e-008;
3.2714843750e-001;-4.5260247106e-008;3.1694997737e-009;-5.3440093239e-008;-2.4571630064e-008;-5.0238988081e-008;-7.0618213499e-008;
3.3105468750e-001;-4.5265746706e-008;3.1825977409e-009;-5.3458062865e-008;-2.4571809476e-008;-5.0252310757e-008;-7.0653840112e-008;
3.3593750000e-001;-4.5279850980e-008;3.1918738763e-009;-5.3448140136e-008;-2.4545478539e-008;-5.0255305695e-008;-7.0653193518e-008;
3.3984375000e-001;-4.5281147720e-008;3.1898621522e-009;-5.3433385716e-008;-2.4544069888e-008;-5.0255973605e-008;-7.0681601017e-008;
3.4375000000e-001;-4.5254616055e-008;3.2166618258e-009;-5.3415796231e-008;-2.4531642495e-008;-5.0247415118e-008;-7.0694945009e-008;
3.4765625000e-001;-4.5265476700e-008;3.2052624999e-009;-5.3420890822e-008;-2.4551983557e-008;-5.0263285090e-008;-7.0720652445e-008;
3.5156250000e-001;-4.5257053216e-008;3.2119233939e-009;-5.3356565388e-008;-2.4528468145e-008;-5.0244238992e-008;-7.0676684061e-008;
3.5546875000e-001;-4.5250725833e-008;3.2159912511e-009;-5.3298538916e-008;-2.4506764618e-008;-5.0227363602e-008;-7.0647850237e-008;
3.5937500000e-001;-4.5252470215e-008;3.2037426045e-009;-5.3251266507e-008;-2.4505915519e-008;-5.0223118109e-008;-7.0638755290e-008;
3.6328125000e-001;-4.5246704161e-008;3.2072517975e-009;-5.3202089845e-008;-2.4498628903e-008;-5.0205212432e-008;-7.0608805913e-008;
3.6718750000e-001;-4.5257387171e-008;3.2023343977e-009;-5.3148109913e-008;-2.4478758576e-008;-5.0169763455e-008;-7.0542107267e-008;
3.7109375000e-001;-4.5307523067e-008;3.2026026275e-009;-5.3122072075e-008;-2.4457278869e-008;-5.0140929631e-008;-7.0486876780e-008;
3.7597656250e-001;-4.5375472268e-008;3.2067599687e-009;-5.3097441111e-008;-2.4435060197e-008;-5.0128303286e-008;-7.0438147759e-008;
3.7988281250e-001;-4.5388098613e-008;3.2038096620e-009;-5.3067243044e-008;-2.4425583334e-008;-5.0103132310e-008;-7.0397959462e-008;
3.8378906250e-001;-4.5383831804e-008;3.1952711588e-009;-5.2996320221e-008;-2.4400929277e-008;-5.0061292001e-008;-7.0322208501e-008;
3.8769531250e-001;-4.5387853476e-008;3.1827542823e-009;-5.2939032713e-008;-2.4379472663e-008;-5.0026912390e-008;-7.0265926411e-008;
3.9160156250e-001;-4.5375784907e-008;3.1940865508e-009;-5.2876625745e-008;-2.4342234894e-008;-4.9981853323e-008;-7.0204791314e-008;
3.9550781250e-001;-4.5400415871e-008;3.1740818862e-009;-5.2847457965e-008;-2.4350795158e-008;-4.9970832805e-008;-7.0173101108e-008;
3.9941406250e-001;-4.5379316305e-008;3.1847435800e-009;-5.2777988202e-008;-2.4303721702e-008;-4.9922842749e-008;-7.0069432923e-008;
